Date,Close_SPY,Close_GLD,Close_TLT,Close_^VIX,Close_CL
2004-11-18,118.739998,44.380001,88.970001,12.98,46.22
2004-11-19,117.419998,44.779999,88.260002,13.5,48.44
2004-11-22,117.980003,44.950001,88.720001,12.97,48.64
2004-11-23,118.160004,44.75,88.830002,12.67,48.94
2004-11-24,118.440002,45.049999,88.830002,12.72,49.44
2004-11-29,117.809998,45.400002,87.309998,13.3,49.76
2004-11-30,117.889999,45.119999,86.940002,13.24,49.13
2004-12-01,119.230003,45.380001,86.449997,12.97,45.49
2004-12-02,119.330002,44.950001,86.099998,12.98,43.25
2004-12-03,119.25,45.599998,87.440002,12.96,42.54
2004-12-06,119.209999,45.169998,87.739998,13.19,42.98
2004-12-07,118.099998,45.110001,87.849998,13.67,41.46
2004-12-08,118.790001,44.009998,89.220001,13.19,41.94
2004-12-09,119.209999,43.779999,88.629997,12.88,42.53
2004-12-10,119.330002,43.439999,88.849998,12.76,40.71
2004-12-13,120.370003,43.91,89.040001,12.54,41.01
2004-12-14,120.790001,43.549999,89.389999,12.73,41.82
2004-12-15,120.879997,43.990002,90.199997,12.35,44.19
2004-12-16,120.809998,43.68,88.870003,12.27,44.18
2004-12-17,119.440002,44.189999,88.75,11.95,46.28
2004-12-20,119.470001,44.34,88.910004,11.83,45.64
2004-12-21,120.389999,44.220001,89.18,11.55,45.76
2004-12-22,120.68,44.02,88.879997,11.45,44.24
2004-12-23,120.769997,44.27,88.589996,11.23,44.18
2004-12-27,120.519997,44.48,87.900002,12.14,41.32
2004-12-28,121.18,44.369999,87.830002,12.0,41.77
2004-12-29,121.360001,43.66,87.739998,11.62,43.64
2004-12-30,121.129997,43.830002,88.330002,12.56,43.45
2005-01-03,120.300003,43.02,88.739998,14.08,42.12
2005-01-04,118.830002,42.740002,87.809998,13.98,43.91
2005-01-05,118.010002,42.669998,88.279999,14.09,43.39
2005-01-06,118.610001,42.150002,88.339996,13.58,45.56
2005-01-07,118.440002,41.84,88.540001,13.49,45.43
2005-01-10,119.0,41.950001,88.68,13.23,45.33
2005-01-11,118.18,42.209999,89.199997,13.19,45.68
2005-01-12,118.57,42.599998,89.32,12.56,46.37
2005-01-13,117.620003,42.599998,90.18,12.84,48.04
